state_abbr,state_name,rpp_all_items,rpp_goods,rpp_services_housing,rpp_services_utilities,rpp_services_other,traditional_burial_point,traditional_burial_low,traditional_burial_high,burial_with_vault_point,burial_with_vault_low,burial_with_vault_high,cremation_with_service_point,cremation_with_service_low,cremation_with_service_high,direct_cremation_point,direct_cremation_low,direct_cremation_high,direct_burial_point,direct_burial_low,direct_burial_high,green_burial_point,green_burial_low,green_burial_high
NY,New York,107.6,106.2,121.9,135.7,103.9,8930,7590,10270,10750,9140,12360,6760,5750,7770,2960,2520,3400,4000,3400,4600,5360,4560,6160
NC,North Carolina,94.1,96.5,80.8,84.2,98.1,7810,6640,8980,9410,8000,10820,5910,5020,6800,2590,2200,2980,3500,2980,4020,4690,3990,5390
ND,North Dakota,88.6,95.9,69.4,73.7,90.4,7350,6250,8450,8860,7530,10190,5560,4730,6390,2440,2070,2810,3300,2800,3790,4410,3750,5070
OH,Ohio,91.8,93.4,72.1,89.8,97.8,7620,6480,8760,9180,7800,10560,5770,4900,6640,2520,2140,2900,3410,2900,3920,4570,3880,5260
OK,Oklahoma,88.3,92.2,65,80.3,95.4,7330,6230,8430,8830,7510,10150,5550,4720,6380,2430,2070,2790,3280,2790,3770,4400,3740,5060
OR,Oregon,104.7,104.6,109,91.2,104.2,8690,7390,9990,10460,8890,12030,6580,5590,7570,2880,2450,3310,3890,3310,4470,5210,4430,5990
PA,Pennsylvania,97.5,99.2,85.8,118.5,99.1,8090,6880,9300,9750,8290,11210,6120,5200,7040,2680,2280,3080,3630,3090,4170,4860,4130,5590
RI,Rhode Island,101.4,96.8,102.4,146,102.5,8420,7160,9680,10130,8610,11650,6370,5410,7330,2790,2370,3210,3770,3200,4340,5050,4290,5810
SC,South Carolina,93.2,95.6,80.5,86.1,97.4,7740,6580,8900,9320,7920,10720,5850,4970,6730,2560,2180,2940,3470,2950,3990,4640,3940,5340
SD,South Dakota,88.1,96.1,64.9,80.8,91.8,7310,6210,8410,8810,7490,10130,5530,4700,6360,2420,2060,2780,3280,2790,3770,4390,3730,5050
TN,Tennessee,92.5,94.8,77.9,76.3,97.6,7680,6530,8830,9250,7860,10640,5810,4940,6680,2540,2160,2920,3440,2920,3960,4610,3920,5300
TX,Texas,97.2,98.4,97.4,92.7,96.4,8070,6860,9280,9720,8260,11180,6100,5180,7010,2670,2270,3070,3620,3080,4160,4840,4110,5570
UT,Utah,95,93,106.2,72.9,94.4,7880,6700,9060,9500,8080,10920,5970,5070,6870,2610,2220,3000,3530,3000,4060,4730,4020,5440
VT,Vermont,96.6,96.3,82,121.9,101.4,8020,6820,9220,9660,8210,11110,6070,5160,6980,2660,2260,3060,3590,3050,4130,4810,4090,5530
VA,Virginia,100.7,100.3,105.5,92.4,100,8360,7110,9610,10060,8550,11570,6320,5370,7270,2770,2350,3190,3750,3190,4310,5010,4260,5760
WA,Washington,108.6,106.7,125.5,84,106.1,9010,7660,10360,10850,9220,12480,6820,5800,7840,2990,2540,3440,4040,3430,4650,5410,4600,6220
WV,West Virginia,89.8,95.7,56.1,89,99.5,7450,6330,8570,8980,7630,10330,5640,4790,6490,2470,2100,2840,3340,2840,3840,4470,3800,5140
WI,Wisconsin,93.1,93.6,78.3,89.7,98.2,7730,6570,8890,9310,7910,10710,5850,4970,6730,2560,2180,2940,3460,2940,3980,4640,3940,5340
WY,Wyoming,90.8,94.8,75.9,74.5,94.7,7540,6410,8670,9080,7720,10440,5700,4840,6550,2500,2120,2880,3380,2870,3890,4520,3840,5200
DC,District of Columbia,110.8,105.9,168.5,110.2,102.5,9200,7820,10580,11070,9410,12730,6960,5920,8000,3050,2590,3510,4120,3500,4740,5520,4690,6350
